albumid,event,name,price,salt,sort_by_rating,time,userid
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,2
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
15,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,3
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
17,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,4
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
12,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
17,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,5
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
4,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
5,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
12,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,6
0,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
1,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
1,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
2,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
2,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
3,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
4,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
5,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
6,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
7,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
8,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
9,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
10,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
11,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
12,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
12,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
13,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
14,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
15,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
16,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
17,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
18,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
19,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,7
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
9,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
12,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,8
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
6,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
19,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,9
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
17,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,10
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
5,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
8,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
17,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,11
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
8,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
9,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
15,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,12
0,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
1,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
2,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
3,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
4,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
5,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
6,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
6,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
7,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
8,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
9,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
10,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
11,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
12,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
13,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
13,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
14,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
15,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
16,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
17,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
18,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
19,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,13
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
2,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
5,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
9,purchase,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,14
0,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
1,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
2,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
3,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
4,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
5,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
6,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
6,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
7,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
7,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
8,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
9,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
9,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
10,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
10,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
11,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
12,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
13,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
14,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
15,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
16,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
17,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
18,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
19,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,15
0,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
1,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
2,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
3,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
4,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
4,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
5,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
6,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
7,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
8,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
9,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
10,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
10,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
11,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
12,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
13,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
13,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
14,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
15,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
16,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
16,purchase,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
17,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
18,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
19,exposure,MusicExperiment,11.99,MusicExperiment,1,1433000235,16
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
1,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
2,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
3,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
4,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
5,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
6,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
7,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
8,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
9,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
10,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
11,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
12,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
13,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
14,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
15,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
16,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
17,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
18,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
19,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,17
0,exposure,MusicExperiment,11.99,MusicExperiment,0,1433000235,18
